Files	Type	qPCR_experiment	qPCR_run	annotation_status	annotation_reason
qpcr/Whi5/Yagya_whi5_rdn18_cDNA_090421_02.lc96p	qPCR output	Whi5		unresolved	no qPCR run folder
qpcr/Whi5/Yagya_whi5_rdn18_cDNA_160421 - Abs Quant.txt	qPCR output	Whi5		unresolved	no qPCR run folder
qpcr/Whi5/Yagya_whi5_rdn18_cDNA_160421 - Abs Quant.xlsx	summary	Whi5		unresolved	no qPCR run folder
qpcr/Whi5/Yagya_whi5_rdn18_cDNA_160421.lc96p	qPCR output	Whi5		unresolved	no qPCR run folder
qpcr/Whi5/Yagya_whi5_rdn18_cDNA_160421_2 - Abs Quant.txt	qPCR output	Whi5		unresolved	no qPCR run folder
qpcr/Whi5/Yagya_whi5_rdn18_cDNA_160421_2.lc96p	qPCR output	Whi5		unresolved	no qPCR run folder
qpcr/Whi5/Yagya_whi5_rdn18_cDNA_190421 - Abs Quant.txt	qPCR output	Whi5		unresolved	no qPCR run folder
qpcr/Whi5/Yagya_whi5_rdn18_cDNA_190421.lc96p	qPCR output	Whi5		unresolved	no qPCR run folder
qpcr/Whi5/Yagya_whi5_rdn18_cDNA_210421 - Abs Quant.txt	qPCR output	Whi5		unresolved	no qPCR run folder
qpcr/Whi5/Yagya_whi5_rdn18_cDNA_210421.lc96p	qPCR output	Whi5		unresolved	no qPCR run folder
qpcr/whi5 and whi7/180821.jpg	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/alissa_DNA_E3.9-2.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/biorep6_summary.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/TurboDNase_analysis.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_act1_turbo_cDNA_17092021 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_act1_turbo_cDNA_17092021.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_rdn18_turbo_cDNA_17092021 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_rdn18_turbo_cDNA_17092021.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_rdn18_turbo_cDNA_200921 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_rdn18_turbo_cDNA_200921.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_rdn18_turbo_cDNA_21092021 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_rdn18_turbo_cDNA_21092021.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi5_turbo_cDNA_17092021 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi5_turbo_cDNA_17092021.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi5_whi7_act1_rdn18_cDNA_supermixtest_060921.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_turbo_cDNA_17092021 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_turbo_cDNA_17092021.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_08072021_02 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_08072021_02 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_08072021_02.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_080721_03 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_080721_03 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_080721_03.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_09072021_02 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_09072021_02 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_09072021_02.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_090721_01 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_090721_01 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_090721_01.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_090721_03 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_090721_03 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_090721_03.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_090921_01.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_090921_02.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_090921_03 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_090921_03 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_090921_03.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_100921_01 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_100921_01 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_100921_01.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_140721 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_140721 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_140721.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_150721 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_150721 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_150721.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_180821.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_20082021 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_20082021 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_20082021.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_23082021_01 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_23082021_01 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_23082021_01.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_23082021_02 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_23082021_02 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_23082021_02.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
